Frame 1980 | Time 79.16s | Emotion: neutral
Frame 1982 | Time 79.24s | Emotion: neutral
Frame 1984 | Time 79.32s | Emotion: neutral
Frame 2248 | Time 89.88s | Emotion: happy
Frame 2250 | Time 89.96s | Emotion: happy
Frame 2252 | Time 90.04s | Emotion: neutral
Frame 2254 | Time 90.12s | Emotion: disgust
Frame 2256 | Time 90.20s | Emotion: neutral
Frame 2258 | Time 90.28s | Emotion: neutral
Frame 2260 | Time 90.36s | Emotion: neutral
Frame 2262 | Time 90.44s | Emotion: neutral
Frame 2264 | Time 90.52s | Emotion: neutral
Frame 2266 | Time 90.60s | Emotion: neutral
Frame 2268 | Time 90.68s | Emotion: neutral
Frame 2270 | Time 90.76s | Emotion: neutral
Frame 2272 | Time 90.84s | Emotion: neutral
Frame 2274 | Time 90.92s | Emotion: neutral
Frame 2276 | Time 91.00s | Emotion: neutral
Frame 2278 | Time 91.08s | Emotion: neutral
Frame 2280 | Time 91.16s | Emotion: neutral
Frame 2282 | Time 91.24s | Emotion: neutral
Frame 2284 | Time 91.32s | Emotion: neutral
Frame 2286 | Time 91.40s | Emotion: neutral
Frame 2288 | Time 91.48s | Emotion: neutral
Frame 2290 | Time 91.56s | Emotion: neutral
Frame 2292 | Time 91.64s | Emotion: neutral
Frame 2294 | Time 91.72s | Emotion: neutral
Frame 2296 | Time 91.80s | Emotion: neutral
Frame 2298 | Time 91.88s | Emotion: neutral
Frame 2300 | Time 91.96s | Emotion: neutral
Frame 2302 | Time 92.04s | Emotion: neutral
Frame 2304 | Time 92.12s | Emotion: neutral
Frame 2306 | Time 92.20s | Emotion: neutral
Frame 2308 | Time 92.28s | Emotion: neutral
Frame 2310 | Time 92.36s | Emotion: neutral
Frame 2312 | Time 92.44s | Emotion: neutral
Frame 2314 | Time 92.52s | Emotion: fear
Frame 2316 | Time 92.60s | Emotion: fear
Frame 2318 | Time 92.68s | Emotion: neutral
Frame 2320 | Time 92.76s | Emotion: neutral
Frame 2322 | Time 92.84s | Emotion: neutral
Frame 2324 | Time 92.92s | Emotion: sad
Frame 2326 | Time 93.00s | Emotion: fear
Frame 2328 | Time 93.08s | Emotion: neutral
Frame 2330 | Time 93.16s | Emotion: fear
Frame 2332 | Time 93.24s | Emotion: sad
Frame 2334 | Time 93.32s | Emotion: neutral
Frame 2336 | Time 93.40s | Emotion: neutral
Frame 2338 | Time 93.48s | Emotion: neutral
Frame 2340 | Time 93.56s | Emotion: neutral
Frame 2342 | Time 93.64s | Emotion: neutral
Frame 2344 | Time 93.72s | Emotion: neutral
Frame 2346 | Time 93.80s | Emotion: neutral
Frame 2348 | Time 93.88s | Emotion: neutral
Frame 2350 | Time 93.96s | Emotion: neutral
Frame 2352 | Time 94.04s | Emotion: neutral
Frame 2354 | Time 94.12s | Emotion: neutral
Frame 2356 | Time 94.20s | Emotion: neutral
Frame 2358 | Time 94.28s | Emotion: neutral
Frame 2360 | Time 94.36s | Emotion: neutral
Frame 2362 | Time 94.44s | Emotion: neutral
